Vol,Kind,File,SHA1,Size,URL
"E-14","zip","Vol E-14.zip","1f84a62e7f9322d808c0a7f4deee5efc13d69671","93225593","https://archive.org/download/champak-jogo-disk-archive/Vol%20E-14.zip"
"F-12","zip","Vol F-12.zip","2faf47dbf828f88ce52d0f61795e1c425ddb5496","189617580","https://archive.org/download/champak-jogo-disk-archive/Vol%20F-12.zip"
"G-12","zip","Vol G-12.zip","439c0347eceb60fd294b28b45f91c00b44d1ce41","477363133","https://archive.org/download/champak-jogo-disk-archive/Vol%20G-12.zip"
"K-12","zip","Vol K-12.zip","e609d3f67643423f6a0ee1dee2b8a58861acd737","129896544","https://archive.org/download/champak-jogo-disk-archive/Vol%20K-12.zip"
"K-14","zip","Vol K-14.zip","aacf49e12bd1edd662c78424d3c0b54cc02fdf62","126332972","https://archive.org/download/champak-jogo-disk-archive/Vol%20K-14.zip"
"M-12","zip","Vol M-12.zip","146b49c38b3c45c7f787c55500c3c2bd7642a1cd","69687048","https://archive.org/download/champak-jogo-disk-archive/Vol%20M-12.zip"
"48","iso","cdrom_image.iso","effc1711ec555e6c300f744f2f863b122d5857dc","148883456","https://archive.org/download/jogo-disk-48/cdrom_image.iso"
"77","iso","Vol 77.iso","7e09a2b92eea350c20e26c3a425a8641d364a4d1","93493248","https://archive.org/download/jogo-disk-77/Vol%2077.iso"
"124","iso","Vol 124.iso","43dfaf377cffdbab6d93264d2502959f57ed2963","68542464","https://archive.org/download/jogo-disk-124/Vol%20124.iso"
"107","iso","(Vol 107) May 15 2010.iso","b3d71c6ad9c9e4d3c4c2a9a44b106b8898698333","80779264","https://archive.org/download/jogo-disk-107/(Vol%20107)%20May%2015%202010.iso"
"26_Anniversary_Edition","iso","Volume 26 [Anniversary Edition] - JOGO DISK .iso","29127baf9357d0b12cb427f102ea9e0bf538881d","526960640","https://archive.org/download/jogo-disk-collection/Volume%2026%20%5BAnniversary%20Edition%5D%20-%20JOGO%20DISK%20.iso"
"74_Damaged","iso","Volume 74 My Disc - Damaged.iso","b98c5aa9f6bc10ae570dd12d45f0193bfefa7ae0","74604544","https://archive.org/download/jogo-disk-collection/Volume%2074%20My%20Disc%20-%20Damaged.iso"
"75_Damaged","iso","Volume 75 My Disc - Damaged.iso","bfc0e8ed0d49902cc38297c2b753c80706cdc3b0","123531264","https://archive.org/download/jogo-disk-collection/Volume%2075%20My%20Disc%20-%20Damaged.iso"
"142_Damaged","iso","Volume 142 Oct 17 2011 - Damaged.iso","663a11641100f0b86f0c4780b6de04fc85bf3d1f","190951424","https://archive.org/download/jogo-disk-collection/Volume%20142%20Oct%2017%202011%20-%20Damaged.iso"
"11","iso","Volume 11 TK_11.iso","6dbe05164ee5a8348acb8424c21e416f39ad26b4","227407872","https://archive.org/download/jogo-disk-collection/Volume%2011%20TK_11.iso"
"12","iso","Volume 12 - JOGO DISK .iso","13bf8ff3a03e8d1fa53c38f16376e5105214e5b9","161026048","https://archive.org/download/jogo-disk-collection/Volume%2012%20-%20JOGO%20DISK%20.iso"
"25","iso","Volume 25 - JOGO DISK .iso","178e8aa99dcafd6b3e9ce542bfd53b73b0797092","163975168","https://archive.org/download/jogo-disk-collection/Volume%2025%20-%20JOGO%20DISK%20.iso"
"28","iso","Volume 28 - JOGO DISK .iso","b21ed071c98c678f67ec99aeaf6cc71f22c8ca5d","211863552","https://archive.org/download/jogo-disk-collection/Volume%2028%20-%20JOGO%20DISK%20.iso"
"29","iso","Volume 29 - JOGO DISK .iso","0d570827c48b1c83850840526349fecf63fabc31","255479808","https://archive.org/download/jogo-disk-collection/Volume%2029%20-%20JOGO%20DISK%20.iso"
"30","iso","Volume 30 - JOGO DISK .iso","012423c6a1edf7e354590c5d1aa35caf2b513af4","225804288","https://archive.org/download/jogo-disk-collection/Volume%2030%20-%20JOGO%20DISK%20.iso"
"31","iso","Volume 31 - JOGO DISK .iso","164841afcaef0c87d24287211981dd5538632593","174602240","https://archive.org/download/jogo-disk-collection/Volume%2031%20-%20JOGO%20DISK%20.iso"
"33","iso","Volume 33 - JOGO DISK .iso","3d3eba7d43c6d26d9f951c68910bc9b59bcddc79","180060160","https://archive.org/download/jogo-disk-collection/Volume%2033%20-%20JOGO%20DISK%20.iso"
"34","iso","Volume 34 My Disc.iso","6aaf544f5f5462cb5426485a3175cbf9b34b2311","104886272","https://archive.org/download/jogo-disk-collection/Volume%2034%20My%20Disc.iso"
"35","iso","Volume 35 - JOGO DISK .iso","2e3708bb5ae6e5e74a58f109aba0ad38baa5845f","121853952","https://archive.org/download/jogo-disk-collection/Volume%2035%20-%20JOGO%20DISK%20.iso"
